;grid=15x15:extent=(31.5000,-31.5000,-31.5000,31.5000):X_lbl=p_y:Y_lbl=p_x
    #,   Plate Y,   Plate X,  Seconds,       i0,       i1,      mon,    bstop,  LaserRf,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    PRESS,   lvdt11,   lvdt12,   lvdt21,   lvdt22,   lvdt31,   lvdt32,   lvdt41,   lvdt42,   CTEMPB,  X3_ROI1,  X3_ROI2,  X3_ROI3,  X3_ROI4,  X3_ROI5,  X3_ROI6,  X3_ROI7,  X3_ROI8
   53,      -4.5,       -18,   60.000,  4938791, 15227397,     9295,        0, 40562743,        0,        0,        0, 63.920584,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12909.156,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   286779,    30773,   139225,   134530,        0,        0,        0,        0
   54,        -9,       -18,   60.000,  4943841, 15267756,    10367,        0, 40572164,        0,        0,        0, 64.075579,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 12975.174,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   280697,    31645,   132869,   128418,        0,        0,        0,        0
   55,     -13.5,       -18,   60.000,  4926911, 15247359,     7775,        0, 40563377,        0,        0,        0, 63.900072,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13040.945,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   271770,    32511,   124740,   120476,        0,        0,        0,        0
   56,       -18,       -18,   60.000,  4895439, 15185693,    11433,        0,        0,        0,        0,        0, 64.059743,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13106.861,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   261032,    32261,   116235,   112320,        0,        0,        0,        0
   57,     -22.5,       -18,   60.000,  4885321, 15110385,    10972,        0,        0,        0,        0,        0, 63.894414,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13172.559,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   250310,    32549,   107482,   103822,        0,        0,        0,        0
   58,       -27,       -18,   60.000,  4931990, 15281342,    10998,        0,        0,        0,        0,        0, 64.058685,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13238.587,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   243461,    32721,   100761,    97307,        0,        0,        0,        0
   61,        27,     -13.5,   60.000,  4944149, 15225546,     6327,        0, 40636540,        0,        0,        0, 64.073226,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13309.757,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   327021,    23337,   180094,   174274,        0,        0,        0,        0
   62,      22.5,     -13.5,   60.000,  4946902, 15098209,     3329,        0, 40627696,        0,        0,        0, 63.972437,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13375.918,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   324964,    24570,   178055,   172176,        0,        0,        0,        0
   63,        18,     -13.5,   60.000,  4941257, 15105460,     3347,        0, 40624149,        0,        0,        0, 63.941777,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13441.684,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   319347,    25819,   172633,   166958,        0,        0,        0,        0
   64,      13.5,     -13.5,   60.000,  4958096, 15229665,     4600,        0, 40671184,        0,        0,        0, 63.801331,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,       -1, 13507.396,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,   320366,    27278,   171221,   165537,        0,        0,        0,        0
